"Município";"Grupo de idade";"Variável";"Cor ou raça";"Ano";"Próprio de algum morador";"Alugado";"Cedido ou emprestado";"Outra condição"
"Miracema (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"19715";"4302";"2697";"115"
"Natividade (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"10369";"2969";"1616";"57"
"Nilópolis (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"106349";"35258";"4397";"643"
"Niterói (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"336174";"115095";"19594";"9279"
"Nova Friburgo (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"124635";"52912";"9966";"1776"
"Nova Iguaçu (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"622459";"119736";"34485";"7853"
"Paracambi (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"31873";"7597";"1503";"192"
"Paraíba do Sul (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"30713";"8621";"2393";"214"
"Paraty (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"29247";"11941";"3788";"131"
"Paty do Alferes (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"23658";"4160";"1636";"100"
"Petrópolis (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"202003";"61011";"12435";"2530"
"Pinheiral (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"18789";"4333";"1030";"114"
"Piraí (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"20789";"4582";"2018";"85"
"Porciúncula (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"11899";"3588";"1645";"98"
"Porto Real (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"15097";"4274";"953";"34"
"Quatis (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"9803";"2987";"836";"43"
"Queimados (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"116933";"18046";"4690";"628"
"Quissamã (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"17608";"3277";"1451";"44"
"Resende (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"86917";"33870";"7312";"765"
"Rio Bonito (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"40118";"11824";"3321";"950"
"Rio Claro (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"13398";"2864";"1048";"67"
"Rio das Flores (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"6077";"1517";"1306";"52"
"Rio das Ostras (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"95147";"53123";"5555";"2562"
"Rio de Janeiro (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"4272569";"1622859";"217201";"62626"
"Santa Maria Madalena (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"7403";"1672";"1066";"58"
"Santo Antônio de Pádua (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"29278";"9892";"1878";"161"
"São Francisco de Itabapoana (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"38467";"4335";"2092";"165"
"São Fidélis (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"26702";"9523";"1947";"749"
"São Gonçalo (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"666393";"183032";"36649";"9227"
"São João da Barra (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"29289";"5814";"1274";"120"
"São João de Meriti (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"332283";"96502";"9625";"2391"
"São José de Ubá (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"5770";"1026";"274";"-"
"São José do Vale do Rio Preto (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"13503";"5610";"2821";"147"
"São Pedro da Aldeia (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"76319";"21063";"5936";"547"
"São Sebastião do Alto (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"5756";"1263";"731";"-"
"Sapucaia (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"11978";"3957";"1679";"83"
"Saquarema (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"66396";"17944";"4457";"549"
"Seropédica (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"61580";"12341";"5117";"862"
"Silva Jardim (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"15896";"3145";"2087";"191"
"Sumidouro (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"10884";"2493";"1788";"41"
"Tanguá (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"25243";"4068";"1567";"140"
"Teresópolis (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"115394";"38563";"9437";"1403"
"Trajano de Moraes (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"8178";"1206";"835";"37"
"Três Rios (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"59262";"14970";"3173";"784"
"Valença (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"48747";"15064";"3509";"613"
"Varre-Sai (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"5964";"2515";"1693";"28"
"Vassouras (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"22492";"8004";"3251";"188"
"Volta Redonda (RJ)";"Total";"Moradores em domicílios particulares permanentes ocupados (Pessoas)";"Total";"2022";"196548";"51723";"11387";"1330"
